Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
7/5/17,43.67087936,33.17108154,23.47708321,89.8574295,39.9646225,28.53775406,84.52271271,85.19796753,66.19956207,39.61010742,40.45973969,23.90564156,15.94317341,11.2468195,46.26861572,32.03140259,50.70621872,39.0327034,72.06854248,153.8079071,57.26845932,25.65261841,56.51828766,24.50346947
7/6/17,41.94787216,32.9573555,22.87366104,89.17030334,39.19536972,27.69355202,82.10614777,83.62230682,65.60182953,38.83380127,39.96518707,23.29199219,15.79455853,11.10312176,46.22488785,31.59100914,49.95941925,40.45557404,71.6833725,151.4729919,56.73706436,25.20388603,56.00425339,24.60035133
7/7/17,41.34298325,33.75880814,22.87366104,88.88687134,38.91482162,27.10627747,82.23030853,83.44306946,65.68371582,38.61200333,38.99475861,24.09240532,15.82758236,10.98816299,47.29194641,31.32677078,49.79817581,39.75567245,72.30487823,150.5466614,56.69351196,24.99821663,57.45365906,24.55190659
7/10/17,43.17596817,33.15326691,23.26023483,88.50038147,39.13202286,27.2806263,84.08334351,84.55638123,65.63459015,39.11105347,39.6199379,24.29694939,15.7532711,11.03606319,47.30069733,31.90418243,49.87455368,39.22497559,72.18231964,152.9009552,56.92871094,25.40020752,57.37780762,24.57612991
7/11/17,43.25845337,33.26012802,23.46765709,88.5690918,39.23156357,28.01471901,84.64690399,85.50931549,65.99485779,39.47148895,40.17980957,24.1991291,15.86886215,11.10312176,47.40566254,32.48158264,50.01882553,39.13269043,72.09480286,154.7438354,57.31201935,25.78349876,57.24298859,24.5680542
7/12/17,43.60671997,33.27793121,23.65623283,89.2304306,39.13202286,28.2716465,84.15975189,85.45270538,66.28962708,39.53617859,40.24512863,24.11019135,16.02573967,10.94984436,47.02082062,32.44244003,50.20551682,40.03255844,71.98975372,154.4833374,57.12907791,25.81154442,57.32725143,24.85870552
7/13/17,44.21160889,32.80597305,23.96736908,89.43656158,39.14107132,28.6295166,85.41103363,86.78361511,66.29781342,40.45111465,40.41308594,23.91453362,15.95968056,10.96900368,47.09078979,32.70667648,50.49406433,40.34788895,71.53456116,155.0043182,57.92181396,25.73675919,57.11657715,25.15742874
7/14/17,44.504879,33.26012802,23.901371,89.70282745,39.32207108,29.04243851,86.42350006,86.84033966,66.55164337,40.86698532,41.01960754,23.97678757,16.13306999,11.16060066,47.06454468,33.06878662,50.76562119,40.88627243,71.9547348,155.2841339,58.23542023,26.2509346,57.33568573,25.37542152
7/17/17,44.61486816,33.51836777,23.9767971,89.50527954,39.08677292,28.76716232,86.41395569,86.86868286,66.20774841,40.76532364,40.67435837,24.20801926,16.141325,11.10312176,47.50186539,33.2547226,50.95233154,41.20161057,71.61334991,157.1077271,58.21800232,25.9985199,56.82164383,25.38349152
7/18/17,43.74419403,32.72583389,23.40165329,89.08441925,38.97816849,28.77633286,86.35664368,86.67964935,65.99485779,40.6636734,40.45973969,24.1991291,16.10004616,11.18933964,47.95668793,33.15686035,51.12205505,41.20161057,71.74465179,155.8244781,57.65176392,25.9985199,56.88906097,25.14935684
