Date,MO,ADM,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WBA,WMT
4/26/17,56.59272766,39.8484726,50.91838074,47.08917618,38.23055267,67.22436523,35.24987411,161.0714722,159.1498718,16.13215256,84.55836487,50.21233749,32.36884689,112.7439575,62.74883652,115.3147354,76.56760406,27.46849442,46.91978073,87.87532043,41.60461426,45.11000061,101.3869095,90.69197083,78.75267792,48.3913002,121.5688248,97.81911469,59.75940323,76.00693512,69.75191498
4/27/17,56.60855865,40.29740143,50.66113281,47.07972336,38.02719498,67.04145813,35.06916428,161.6194763,159.7349396,16.03421783,84.18280792,49.80459976,32.41517639,112.3086319,62.28364563,115.1995316,76.49182129,27.73527145,47.06092834,87.82946777,41.49396133,45.29000092,100.7696457,89.90866852,78.70782471,48.59137726,121.9602051,97.70991516,59.83348083,75.98039246,69.7611618
4/28/17,56.8064003,40.27099228,51.04258347,46.84327316,38.15097427,65.88902283,35.04205322,163.0177612,159.7979889,15.89177227,83.91316986,49.89134979,32.49855804,112.5840378,62.31874847,114.9779968,76.12127686,27.27531815,47.00447464,87.93035126,41.5216217,45.38000107,101.3421783,90.43901062,78.3846817,48.08208847,121.6780396,98.45608521,59.50936508,76.55540466,69.52074432
5/1/17,56.0308342,40.25339127,50.43936539,46.64466858,38.21286774,65.66951752,34.59928131,162.5737152,160.1040192,16.13215256,83.95169067,49.10190582,32.33179855,111.8466415,61.57268906,114.8096466,75.34650421,26.69577217,46.67041016,87.35263062,40.62719727,44.56000137,100.4475632,90.20240021,78.16928101,48.06389999,121.4960098,97.40962219,59.14819336,76.4846344,69.56698608
5/2/17,56.05457306,36.67961121,50.48371124,46.18124771,38.36317062,64.71833038,34.29204941,164.9452057,160.7611389,16.07873344,84.24058533,48.51198196,32.24842072,110.7627106,60.58961105,112.3106842,74.95069885,26.51179123,46.75039673,87.44433594,40.33213043,44.68000031,100.4565201,90.13713074,77.38839722,48.08208847,118.4014969,97.41873169,58.54624557,75.90962982,69.83515167
5/3/17,55.57183838,36.3627243,50.39499664,46.10559082,38.30127716,65.01099396,34.12036514,164.1515808,161.8683777,16.12324524,87.91914368,48.62476349,32.03534698,111.0203705,60.51062393,112.337265,75.06858826,27.04534149,46.75510025,83.34539795,41.5216217,44.93000031,100.0092087,90.25135803,77.57688141,48.11846924,119.4117661,97.12756348,58.01838684,75.89192963,70.05708313
5/4/17,55.64305878,37.32218933,50.77645111,48.0916748,38.60189438,65.80670929,34.06615448,167.4205933,164.2358093,16.31911278,88.45838928,49.49229431,32.19283295,111.588974,61.79210281,113.5956039,75.54018402,26.87975502,47.20678711,84.11566925,41.54006958,45.93000031,101.0558929,90.7327652,77.59481812,49.65542221,120.4675598,97.618927,58.31472397,76.12194824,70.59340668
5/5/17,56.1258049,37.34860229,50.91838074,48.0254631,38.62841415,65.67865753,34.10229111,168.6582794,162.2104187,16.08763504,89.42137146,49.70917511,32.19283295,112.0154343,62.04664993,113.9500656,75.48123932,26.99934387,47.12680435,85.39028931,41.33720398,47.45000076,101.2884979,91.58950043,77.63970184,50.30112839,120.9499207,97.86460114,58.64811325,75.98039246,70.74137115
5/8/17,55.95960999,37.81512451,51.31756973,47.87414932,38.80524063,65.70609283,34.02097321,170.108078,161.6859589,16.04312134,89.18062592,49.79593277,31.94270515,112.1575623,63.8108902,113.7108154,75.35492706,26.60378456,47.24914169,86.13304901,41.11589813,48.47999954,101.2884979,91.89955902,77.68458557,49.92825699,120.0579834,97.36414337,55.08273697,75.93616486,70.38998413
5/9/17,55.62723923,37.28697586,50.71435165,47.56205368,38.46926498,65.3951416,33.69566727,168.4498291,161.7234344,15.87396812,89.5369339,48.90237808,32.03534698,111.4912491,62.18708801,113.6133194,75.11910248,26.72336769,46.91978073,85.09684753,40.84849167,47.99000168,100.8412018,91.32839203,77.54993439,49.9373436,120.5312576,96.82727051,53.60102463,76.06002045,70.94482422
